Date,Close,High,Low,Open,Volume,Ticker
2015-01-02,0.483065456,0.486665075,0.475386308,0.483065456,113680000,nvidia
2015-01-05,0.474906445,0.484505382,0.472746702,0.483065534,197952000,nvidia
2015-01-06,0.460508078,0.476106305,0.460028139,0.475626365,197764000,nvidia
2015-01-07,0.459308267,0.467947297,0.457868419,0.463867737,321808000,nvidia
2015-01-08,0.476586223,0.479465918,0.464347604,0.464587588,283780000,nvidia
2015-01-09,0.478506058,0.482105678,0.471786816,0.478266103,209540000,nvidia
2015-01-12,0.472506672,0.479945837,0.468187158,0.479705853,190732000,nvidia
2015-01-13,0.471786946,0.485705374,0.468427338,0.476106462,236720000,nvidia
2015-01-14,0.473706603,0.475146451,0.465547542,0.466747406,155260000,nvidia
2015-01-15,0.470346898,0.479945805,0.470106914,0.477066138,188932000,nvidia
2015-01-16,0.478985965,0.479465905,0.468187165,0.469627013,181512000,nvidia
2015-01-20,0.480425805,0.484985246,0.474426459,0.482345563,140308000,nvidia
2015-01-21,0.487145126,0.488345018,0.474426565,0.4777862,144780000,nvidia
2015-01-22,0.495543957,0.496983804,0.483065357,0.488104765,159712000,nvidia
2015-01-23,0.496983975,0.497943855,0.491944508,0.496024039,120416000,nvidia
2015-01-26,0.494824111,0.497223838,0.491704461,0.494824111,133240000,nvidia
2015-01-27,0.471066773,0.487624903,0.470106865,0.487144935,357948000,nvidia
2015-01-28,0.463387787,0.478746059,0.463147803,0.476826272,272728000,nvidia
2015-01-29,0.474666476,0.477306159,0.461467949,0.46362772,235340000,nvidia
2015-01-30,0.460747987,0.47682618,0.460028092,0.471306802,298200000,nvidia
2015-02-02,0.470826894,0.472746681,0.454508745,0.463627713,259604000,nvidia
2015-02-03,0.482585549,0.483065518,0.471786778,0.474186505,183468000,nvidia
2015-02-04,0.483785391,0.489304768,0.479705832,0.481145709,181516000,nvidia
2015-02-05,0.491704673,0.491944628,0.483785566,0.484265477,140448000,nvidia
2015-02-06,0.489544898,0.496984094,0.487385126,0.491224702,210524000,nvidia
2015-02-09,0.489064902,0.490504693,0.483545524,0.486665175,273944000,nvidia
2015-02-10,0.502743483,0.502983438,0.487385178,0.489544951,226204000,nvidia
2015-02-11,0.499383897,0.50394334,0.496024232,0.50394334,320832000,nvidia
2015-02-12,0.53513968,0.539939134,0.524820847,0.527940498,676904000,nvidia
2015-02-13,0.535379887,0.536099811,0.525780973,0.533940038,310084000,nvidia
2015-02-17,0.537059426,0.539699166,0.531060137,0.534419744,203340000,nvidia
2015-02-18,0.530820131,0.537299446,0.529860252,0.53633951,170948000,nvidia
2015-02-19,0.532259881,0.538499182,0.529860155,0.537539303,169432000,nvidia
2015-02-20,0.536099613,0.536339568,0.527940551,0.531780126,157752000,nvidia
2015-02-23,0.531780064,0.535859595,0.529140324,0.535859595,125008000,nvidia
2015-02-24,0.537441313,0.537441313,0.529009953,0.53382789,149356000,nvidia
2015-02-25,0.533345819,0.537681994,0.530936851,0.535272969,123820000,nvidia
2015-02-26,0.534791231,0.537922894,0.530455056,0.533827656,152864000,nvidia
2015-02-27,0.5314188,0.534550464,0.529491592,0.533345952,157492000,nvidia
2015-03-02,0.544427216,0.547318,0.529250714,0.52997341,301512000,nvidia
2015-03-03,0.534309387,0.54298168,0.532623116,0.540331834,160344000,nvidia
2015-03-04,0.540331781,0.541536236,0.530214097,0.532382185,226840000,nvidia
2015-03-05,0.550690472,0.551654048,0.538886515,0.540331907,323056000,nvidia
2015-03-06,0.543222666,0.550208631,0.542740849,0.547558784,257392000,nvidia
2015-03-09,0.544668198,0.548763495,0.542259229,0.543463742,222388000,nvidia
2015-03-10,0.554063082,0.557676562,0.546113483,0.547077058,527212000,nvidia
2015-03-11,0.551172316,0.561289945,0.549726924,0.554063043,262120000,nvidia
2015-03-12,0.546113491,0.549967851,0.535754924,0.545872612,406972000,nvidia
2015-03-13,0.546835959,0.54828135,0.53599558,0.543463417,359288000,nvidia
2015-03-16,0.553340435,0.556713036,0.547558924,0.551172404,236956000,nvidia
2015-03-17,0.560085416,0.560326295,0.548281459,0.552135818,299900000,nvidia
2015-03-18,0.550931573,0.562976415,0.545872757,0.560085687,413844000,nvidia
2015-03-19,0.559362769,0.56128992,0.548763324,0.552858563,310756000,nvidia
2015-03-20,0.565384984,0.568757583,0.5586399,0.56393965,462084000,nvidia
2015-03-23,0.547076941,0.555749234,0.546836061,0.548522332,426012000,nvidia
